iter	Passed	Remaining
808	3759	10182
809	3764	10177
810	3768	10170
811	3772	10164
812	3776	10159
813	3780	10153
814	3784	10146
815	3789	10141
816	3793	10136
817	3797	10129
818	3801	10123
819	3806	10118
820	3810	10112
821	3814	10106
822	3818	10100
823	3822	10095
824	3826	10088
825	3831	10083
826	3835	10078
827	3840	10073
828	3843	10066
829	3847	10060
830	3851	10053
831	3856	10048
832	3860	10043
833	3864	10037
834	3869	10033
835	3873	10027
836	3878	10021
837	3881	10014
838	3885	10006
839	3889	10000
840	3893	9995
841	3898	9990
842	3902	9984
843	3906	9979
844	3910	9973
845	3914	9966
846	3918	9961
847	3923	9956
848	3927	9949
849	3931	9943
850	3935	9937
851	3939	9932
852	3943	9925
853	3947	9919
854	3951	9913
855	3956	9908
856	3960	9902
857	3963	9895
858	3968	9890
859	3972	9885
860	3976	9879
861	3980	9873
862	3984	9867
863	3989	9862
864	3993	9856
865	3997	9850
866	4002	9846
867	4006	9840
868	4010	9834
869	4014	9828
870	4018	9823
871	4022	9817
872	4026	9811
873	4030	9804
874	4035	9799
875	4039	9794
876	4043	9789
877	4048	9783
878	4052	9778
879	4056	9772
880	4060	9766
881	4064	9760
882	4069	9756
883	4073	9751
884	4077	9745
885	4082	9740
886	4087	9736
887	4091	9730
888	4095	9724
889	4100	9720
890	4104	9715
891	4108	9708
892	4112	9703
893	4117	9699
894	4121	9694
895	4125	9688
896	4129	9681
897	4134	9677
898	4139	9673
899	4143	9668
900	4148	9663
901	4153	9659
902	4157	9654
903	4161	9649
904	4166	9644
905	4170	9639
906	4174	9633
907	4178	9627
908	4183	9623
909	4187	9617
910	4191	9611
911	4195	9605
912	4200	9601
913	4204	9594
914	4208	9589
915	4212	9584
916	4216	9578
917	4220	9572
918	4224	9566
919	4228	9561
920	4232	9555
921	4237	9549
922	4241	9543
923	4246	9540
924	4250	9535
925	4254	9529
926	4258	9523
927	4263	9518
928	4267	9512
929	4271	9507
930	4275	9501
931	4280	9497
932	4284	9491
933	4288	9485
934	4292	9480
935	4297	9475
936	4301	9470
937	4305	9464
938	4309	9459
939	4314	9455
940	4318	9450
941	4322	9444
942	4327	9438
943	4332	9435
944	4336	9430
945	4340	9423
946	4344	9418
947	4349	9413
948	4353	9407
949	4357	9402
950	4361	9397
951	4365	9391
952	4370	9387
953	4374	9381
954	4378	9376
955	4383	9371
956	4387	9366
957	4391	9360
958	4396	9356
959	4400	9350
960	4404	9345
961	4409	9340
962	4414	9337
963	4418	9332
964	4423	9328
965	4428	9324
966	4432	9318
967	4436	9312
968	4441	9308
969	4446	9304
970	4450	9298
971	4453	9292
972	4458	9287
973	4462	9282
974	4466	9276
975	4470	9271
976	4475	9266
977	4479	9261
978	4483	9255
979	4487	9250
980	4492	9246
981	4497	9241
982	4501	9236
983	4505	9230
984	4509	9225
985	4513	9219
986	4517	9213
987	4521	9207
988	4526	9203
989	4529	9197
990	4534	9191
991	4538	9187
992	4543	9182
993	4548	9178
994	4552	9172
995	4556	9168
996	4560	9162
997	4565	9157
998	4569	9152
999	4574	9148
1000	4578	9143
1001	4582	9138
1002	4587	9133
1003	4591	9128
1004	4595	9123
1005	4599	9117
1006	4605	9114
1007	4609	9109
1008	4613	9104
1009	4618	9099
1010	4623	9095
1011	4627	9090
1012	4630	9083
1013	4635	9079
1014	4639	9073
1015	4643	9068
1016	4647	9062
1017	4652	9058
1018	4657	9053
1019	4661	9048
1020	4665	9042
1021	4669	9038
1022	4674	9032
1023	4678	9027
1024	4683	9024
1025	4688	9020
1026	4693	9017
1027	4697	9011
1028	4702	9007
1029	4706	9001
1030	4710	8996
1031	4715	8991
1032	4719	8987
1033	4723	8981
1034	4727	8975
1035	4731	8970
1036	4736	8966
1037	4741	8962
1038	4746	8958
1039	4751	8954
1040	4755	8949
1041	4759	8943
1042	4763	8938
1043	4768	8934
1044	4773	8929
1045	4777	8925
1046	4782	8920
1047	4786	8916
1048	4791	8910
1049	4795	8906
1050	4801	8903
1051	4805	8898
1052	4810	8894
1053	4815	8890
1054	4819	8886
1055	4824	8881
1056	4828	8876
1057	4833	8871
1058	4838	8867
1059	4842	8862
1060	4847	8858
1061	4851	8853
1062	4855	8848
1063	4859	8842
1064	4864	8838
1065	4869	8834
1066	4873	8828
1067	4877	8822
1068	4881	8818
1069	4885	8812
1070	4889	8807
1071	4893	8801
1072	4898	8796
1073	4902	8791
1074	4906	8786
1075	4910	8781
1076	4915	8776
1077	4919	8770
1078	4923	8765
1079	4928	8761
1080	4932	8757
1081	4937	8751
1082	4941	8746
1083	4945	8742
1084	4950	8737
1085	4954	8731
1086	4958	8726
1087	4963	8721
1088	4967	8717
1089	4972	8712
1090	4977	8710
1091	4982	8705
1092	4986	8700
1093	4990	8695
1094	4994	8689
1095	4999	8684
1096	5003	8679
1097	5007	8674
1098	5011	8669
1099	5015	8663
1100	5019	8657
1101	5023	8652
1102	5028	8648
1103	5032	8643
1104	5037	8639
1105	5042	8634
1106	5046	8630
1107	5051	8625
1108	5055	8620
1109	5060	8616
1110	5064	8611
1111	5068	8605
1112	5072	8600
1113	5077	8595
1114	5081	8590
1115	5085	8584
1116	5088	8578
1117	5092	8573
1118	5096	8567
1119	5100	8561
1120	5104	8556
1121	5108	8551
1122	5112	8545
1123	5116	8540
1124	5120	8534
1125	5125	8530
1126	5128	8524
1127	5132	8518
1128	5136	8512
1129	5141	8508
1130	5145	8503
1131	5149	8497
1132	5154	8492
1133	5158	8488
1134	5163	8484
1135	5167	8479
1136	5172	8475
1137	5177	8471
1138	5182	8467
1139	5186	8462
1140	5191	8458
1141	5196	8454
1142	5201	8449
1143	5206	8446
1144	5211	8442
1145	5215	8437
1146	5219	8432
1147	5225	8429
1148	5229	8424
1149	5233	8419
1150	5238	8415
1151	5243	8410
1152	5247	8406
1153	5252	8401
1154	5258	8399
1155	5262	8394
1156	5267	8390
1157	5272	8386
1158	5276	8381
1159	5280	8376
1160	5285	8371
1161	5289	8367
1162	5294	8362
1163	5298	8356
1164	5302	8351
1165	5306	8346
1166	5310	8341
1167	5314	8335
1168	5319	8331
1169	5323	8325
1170	5327	8321
1171	5331	8316
1172	5336	8311
1173	5340	8306
1174	5344	8300
1175	5347	8294
1176	5352	8289
1177	5356	8284
1178	5360	8278
1179	5364	8273
1180	5369	8269
1181	5373	8265
1182	5378	8260
1183	5383	8256
1184	5387	8252
1185	5391	8246
1186	5395	8241
1187	5400	8237
1188	5404	8232
1189	5408	8226
1190	5412	8220
1191	5417	8216
1192	5421	8211
1193	5425	8206
1194	5429	8201
1195	5434	8197
1196	5438	8192
1197	5442	8187
1198	5447	8182
1199	5451	8177
1200	5456	8173
1201	5460	8168
1202	5465	8163
1203	5469	8158
1204	5474	8154
1205	5478	8149
1206	5483	8145
1207	5487	8140
1208	5492	8136
1209	5497	8132
1210	5502	8128
1211	5506	8123
1212	5510	8118
1213	5515	8113
1214	5519	8109
1215	5524	8104
1216	5528	8099
1217	5534	8097
1218	5539	8094
1219	5545	8090
1220	5550	8086
1221	5555	8082
1222	5560	8078
1223	5566	8076
1224	5570	8072
1225	5575	8067
1226	5581	8065
1227	5586	8061
1228	5591	8057
1229	5597	8054
1230	5602	8050
1231	5606	8045
1232	5611	8042
1233	5616	8037
1234	5620	8032
1235	5624	8027
1236	5629	8023
1237	5633	8018
1238	5638	8013
1239	5643	8009
1240	5648	8006
1241	5652	8001
1242	5657	7996
1243	5661	7992
1244	5666	7987
1245	5670	7982
1246	5674	7977
1247	5679	7972
1248	5683	7967
1249	5687	7961
1250	5691	7957
1251	5695	7951
1252	5699	7946
1253	5703	7941
1254	5708	7936
1255	5712	7932
1256	5716	7927
1257	5720	7921
1258	5725	7916
1259	5728	7911
1260	5733	7906
1261	5737	7901
1262	5742	7896
1263	5747	7893
1264	5751	7888
1265	5755	7883
1266	5760	7878
1267	5763	7873
1268	5768	7868
1269	5773	7864
1270	5777	7859
1271	5781	7854
1272	5786	7849
1273	5790	7845
1274	5795	7840
1275	5798	7835
1276	5802	7829
1277	5807	7825
1278	5811	7820
1279	5815	7814
1280	5819	7809
1281	5825	7807
1282	5829	7802
1283	5834	7796
1284	5838	7791
1285	5842	7786
1286	5846	7782
1287	5851	7777
1288	5855	7772
1289	5860	7767
1290	5864	7763
1291	5868	7757
1292	5872	7753
1293	5877	7748
1294	5881	7743
1295	5885	7738
1296	5890	7733
1297	5894	7729
1298	5898	7723
1299	5902	7719
1300	5907	7714
1301	5911	7709
1302	5915	7704
1303	5920	7699
1304	5924	7695
1305	5928	7690
1306	5932	7685
1307	5937	7680
1308	5941	7675
1309	5945	7670
1310	5950	7665
1311	5954	7661
1312	5959	7656
1313	5963	7651
1314	5967	7646
1315	5971	7641
1316	5976	7636
1317	5980	7631
1318	5983	7626
1319	5988	7621
1320	5992	7616
1321	5995	7610
1322	5999	7605
1323	6004	7601
1324	6008	7595
1325	6012	7590
1326	6016	7585
1327	6020	7580
1328	6025	7575
1329	6029	7570
1330	6033	7565
1331	6037	7560
1332	6041	7555
1333	6045	7550
1334	6049	7545
1335	6054	7540
1336	6058	7535
1337	6062	7530
1338	6067	7526
1339	6071	7520
1340	6075	7515
1341	6079	7510
1342	6083	7505
1343	6087	7500
1344	6091	7495
1345	6096	7491
1346	6101	7487
1347	6105	7482
1348	6109	7477
1349	6114	7473
1350	6118	7468
1351	6122	7463
1352	6127	7458
1353	6131	7454
1354	6136	7449
1355	6139	7444
1356	6144	7439
1357	6148	7434
1358	6153	7430
1359	6157	7425
1360	6161	7420
1361	6166	7415
1362	6170	7411
1363	6174	7406
1364	6178	7400
1365	6182	7396
1366	6187	7391
1367	6191	7385
1368	6195	7380
1369	6199	7376
1370	6203	7371
1371	6208	7366
1372	6212	7362
1373	6217	7357
1374	6221	7352
1375	6225	7347
1376	6229	7342
1377	6233	7337
1378	6237	7332
1379	6241	7327
1380	6246	7322
1381	6251	7318
1382	6255	7313
1383	6259	7308
1384	6264	7304
1385	6268	7299
1386	6272	7294
1387	6276	7289
1388	6281	7284
1389	6284	7279
1390	6288	7274
1391	6292	7269
1392	6297	7264
1393	6301	7259
1394	6305	7254
1395	6309	7249
1396	6313	7244
1397	6317	7239
1398	6321	7233
1399	6325	7228
1400	6329	7223
1401	6332	7218
1402	6337	7213
1403	6341	7208
1404	6345	7203
1405	6349	7199
1406	6354	7194
1407	6358	7189
1408	6362	7184
1409	6367	7179
1410	6371	7174
1411	6375	7170
1412	6379	7165
1413	6383	7160
1414	6387	7155
1415	6391	7149
1416	6396	7145
1417	6400	7140
1418	6404	7135
1419	6408	7130
1420	6412	7126
1421	6417	7121
1422	6421	7116
1423	6425	7111
1424	6429	7106
1425	6433	7101
1426	6437	7096
1427	6441	7091
1428	6446	7086
1429	6450	7081
1430	6454	7076
1431	6458	7071
1432	6462	7066
1433	6466	7061
1434	6471	7057
1435	6475	7052
1436	6479	7047
1437	6483	7042
1438	6487	7037
1439	6491	7032
1440	6496	7027
1441	6500	7022
1442	6504	7017
1443	6508	7013
1444	6512	7008
1445	6516	7003
1446	6520	6998
1447	6525	6994
1448	6529	6989
1449	6533	6984
1450	6537	6979
1451	6543	6975
1452	6547	6971
1453	6551	6966
1454	6555	6961
1455	6559	6956
1456	6563	6951
1457	6567	6945
1458	6571	6941
1459	6575	6936
1460	6579	6931
1461	6583	6926
1462	6588	6921
1463	6592	6917
1464	6596	6912
1465	6600	6907
1466	6605	6902
1467	6609	6897
1468	6613	6892
1469	6617	6887
1470	6621	6882
1471	6625	6877
1472	6629	6873
1473	6635	6869
1474	6640	6865
1475	6644	6860
1476	6648	6855
1477	6653	6851
1478	6657	6846
1479	6661	6841
1480	6665	6836
1481	6669	6831
